REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
2/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
3/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
4/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
5/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
6/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
7/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
8/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
9/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
10/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
11/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
12/1/1961,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
1/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
2/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
3/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
4/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.9,,,,2
5/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.8,,,,2
6/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.95,,,,2
7/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
8/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
9/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
10/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
11/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
12/1/1962,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
1/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
2/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
3/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
4/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.94,,,,2
5/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.91,,,,2
6/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.91,,,,2
7/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.91,,,,2
8/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
9/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
10/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
11/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
12/1/1963,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
1/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
2/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
3/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
4/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.95,,,,2
5/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.88,,,,2
6/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.88,,,,2
7/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.88,,,,2
8/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
9/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
10/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
11/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
12/1/1964,Canada,2016A000011124,Percent,239,units,0,v733833,1,7,,,,2
1/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.9,,,,2
2/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.85,,,,2
3/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.82,,,,2
4/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.82,,,,2
5/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.83,,,,2
6/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,6.83,,,,2
7/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.02,,,,2
8/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.13,,,,2
9/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.15,,,,2
10/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.25,,,,2
11/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.29,,,,2
12/1/1965,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.4,,,,2
1/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.38,,,,2
2/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.45,,,,2
3/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.46,,,,2
4/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.48,,,,2
5/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.51,,,,2
6/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.57,,,,2
7/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.68,,,,2
8/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.8,,,,2
9/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.84,,,,2
10/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.87,,,,2
11/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.91,,,,2
12/1/1966,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.95,,,,2
1/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.93,,,,2
2/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.89,,,,2
3/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.83,,,,2
4/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.8,,,,2
5/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.77,,,,2
6/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,7.88,,,,2
7/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.02,,,,2
8/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.05,,,,2
9/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.1,,,,2
10/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.49,,,,2
11/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.52,,,,2
12/1/1967,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.52,,,,2
1/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.83,,,,2
2/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.84,,,,2
3/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.96,,,,2
4/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.2,,,,2
5/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.23,,,,2
6/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.18,,,,2
7/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.14,,,,2
8/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.12,,,,2
9/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.03,,,,2
10/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.01,,,,2
11/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.09,,,,2
12/1/1968,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.1,,,,2
1/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.45,,,,2
2/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.45,,,,2
3/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.48,,,,2
4/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.52,,,,2
5/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.46,,,,2
6/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.69,,,,2
7/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.9,,,,2
8/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.99,,,,2
9/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.11,,,,2
10/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.21,,,,2
11/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.3,,,,2
12/1/1969,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.5,,,,2
1/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.58,,,,2
2/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.54,,,,2
3/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.58,,,,2
4/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.6,,,,2
5/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.58,,,,2
6/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.53,,,,2
7/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.38,,,,2
8/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.4,,,,2
9/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.36,,,,2
10/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.35,,,,2
11/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.28,,,,2
12/1/1970,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.16,,,,2
1/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.94,,,,2
2/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.72,,,,2
3/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.28,,,,2
4/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.2,,,,2
5/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.25,,,,2
6/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.34,,,,2
7/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.46,,,,2
8/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.53,,,,2
9/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.55,,,,2
10/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.55,,,,2
11/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.26,,,,2
12/1/1971,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.1,,,,2
1/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.04,,,,2
2/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.93,,,,2
3/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,8.97,,,,2
4/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.03,,,,2
5/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.16,,,,2
6/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.37,,,,2
7/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.41,,,,2
8/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.41,,,,2
9/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.38,,,,2
10/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.35,,,,2
11/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.3,,,,2
12/1/1972,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.22,,,,2
1/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.09,,,,2
2/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.02,,,,2
3/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.07,,,,2
4/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.15,,,,2
5/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.3,,,,2
6/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.52,,,,2
7/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.71,,,,2
8/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,9.91,,,,2
9/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.13,,,,2
10/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.13,,,,2
11/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.08,,,,2
12/1/1973,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.02,,,,2
1/1/1974,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.02,,,,2
2/1/1974,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.01,,,,2
3/1/1974,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.04,,,,2
4/1/1974,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.7,,,,2
5/1/1974,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.26,,,,2
6/1/1974,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.37,,,,2
7/1/1974,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.6,,,,2
8/1/1974,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.85,,,,2
9/1/1974,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.05,,,,2
10/1/1974,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.05,,,,2
11/1/1974,Canada,2016A000011124,Percent,239,units,0,v733833,1,12,,,,2
12/1/1974,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.88,,,,2
1/1/1975,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.81,,,,2
2/1/1975,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.95,,,,2
3/1/1975,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.65,,,,2
4/1/1975,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.67,,,,2
5/1/1975,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.99,,,,2
6/1/1975,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.23,,,,2
7/1/1975,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.35,,,,2
8/1/1975,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.52,,,,2
9/1/1975,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.94,,,,2
10/1/1975,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.15,,,,2
11/1/1975,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.97,,,,2
12/1/1975,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.89,,,,2
1/1/1976,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.84,,,,2
2/1/1976,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.8,,,,2
3/1/1976,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.9,,,,2
4/1/1976,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.03,,,,2
5/1/1976,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.99,,,,2
6/1/1976,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.93,,,,2
7/1/1976,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.86,,,,2
8/1/1976,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.83,,,,2
9/1/1976,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.76,,,,2
10/1/1976,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.6,,,,2
11/1/1976,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.56,,,,2
12/1/1976,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.27,,,,2
1/1/1977,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.75,,,,2
2/1/1977,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.25,,,,2
3/1/1977,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.25,,,,2
4/1/1977,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.25,,,,2
5/1/1977,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.38,,,,2
6/1/1977,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.35,,,,2
7/1/1977,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.4,,,,2
8/1/1977,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.33,,,,2
9/1/1977,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.32,,,,2
10/1/1977,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.34,,,,2
11/1/1977,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.34,,,,2
12/1/1977,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.33,,,,2
1/1/1978,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.32,,,,2
2/1/1978,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.31,,,,2
3/1/1978,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.33,,,,2
4/1/1978,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.42,,,,2
5/1/1978,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.43,,,,2
6/1/1978,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.32,,,,2
7/1/1978,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.31,,,,2
8/1/1978,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.31,,,,2
9/1/1978,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.67,,,,2
10/1/1978,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.93,,,,2
11/1/1978,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.25,,,,2
12/1/1978,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.53,,,,2
1/1/1979,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.28,,,,2
2/1/1979,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.25,,,,2
3/1/1979,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.11,,,,2
4/1/1979,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.05,,,,2
5/1/1979,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.06,,,,2
6/1/1979,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.16,,,,2
7/1/1979,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.2,,,,2
8/1/1979,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.8,,,,2
9/1/1979,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.25,,,,2
10/1/1979,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.5,,,,2
11/1/1979,Canada,2016A000011124,Percent,239,units,0,v733833,1,14.46,,,,2
12/1/1979,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.58,,,,2
1/1/1980,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.26,,,,2
2/1/1980,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.5,,,,2
3/1/1980,Canada,2016A000011124,Percent,239,units,0,v733833,1,14.69,,,,2
4/1/1980,Canada,2016A000011124,Percent,239,units,0,v733833,1,16.94,,,,2
5/1/1980,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.99,,,,2
6/1/1980,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.92,,,,2
7/1/1980,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.09,,,,2
8/1/1980,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.44,,,,2
9/1/1980,Canada,2016A000011124,Percent,239,units,0,v733833,1,14.5,,,,2
10/1/1980,Canada,2016A000011124,Percent,239,units,0,v733833,1,14.87,,,,2
11/1/1980,Canada,2016A000011124,Percent,239,units,0,v733833,1,15,,,,2
12/1/1980,Canada,2016A000011124,Percent,239,units,0,v733833,1,15.6,,,,2
1/1/1981,Canada,2016A000011124,Percent,239,units,0,v733833,1,15.17,,,,2
2/1/1981,Canada,2016A000011124,Percent,239,units,0,v733833,1,15.27,,,,2
3/1/1981,Canada,2016A000011124,Percent,239,units,0,v733833,1,15.75,,,,2
4/1/1981,Canada,2016A000011124,Percent,239,units,0,v733833,1,16.45,,,,2
5/1/1981,Canada,2016A000011124,Percent,239,units,0,v733833,1,17.82,,,,2
6/1/1981,Canada,2016A000011124,Percent,239,units,0,v733833,1,18.55,,,,2
7/1/1981,Canada,2016A000011124,Percent,239,units,0,v733833,1,18.9,,,,2
